"","title","geo_accession","source_name_ch1","source_name_ch2","characteristics_ch1","characteristics_ch2","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","characteristics_ch2.1","characteristics_ch2.2","characteristics_ch2.3","reference source:ch2","characteristics_ch1.4","characteristics_ch1.5","characteristics_ch1.6","characteristics_ch2.4","library_source"
"GSM159457...60","Sasa kidney sample on day5 after waterborne challenged by IHN, replicate 5","GSM159457","kidney tissue from a fish sampled on day5 after challenged by waterborne exposure to Infectious hematopoietic necrosis (IHN)  virus, strain 93-057, replicate 5","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM159458...61","Sasa kidney sample on day9 after waterborne challenged by IHN, replicate 1","GSM159458","kidney tissue from a fish sampled on day9 after challenged by waterborne exposure to Infectious hematopoietic necrosis (IHN)  virus, strain 93-057, replicate 1","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM159460...62","Sasa kidney sample on day9 after waterborne challenged by IHN, replicate 3","GSM159460","kidney tissue from a fish sampled on day9 after challenged by waterborne exposure to Infectious hematopoietic necrosis (IHN)  virus, strain 93-057, replicate 3","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM159462...63","Sasa kidney sample on day9 after waterborne challenged by IHN, replicate 5","GSM159462","kidney tissue from a fish sampled on day9 after challenged by waterborne exposure to Infectious hematopoietic necrosis (IHN)  virus, strain 93-057, replicate 5","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM159443...64","Sasa kidney sample on controls, replicate 1","GSM159443","kidney tissue from a control fish , replicate 1","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM159444...65","Sasa kidney sample on controls, replicate 2","GSM159444","kidney tissue from a control fish , replicate 2","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM159445...66","Sasa kidney sample on controls, replicate 3","GSM159445","kidney tissue from a control fish , replicate 3","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM159446...67","Sasa kidney sample on controls, replicate 4","GSM159446","kidney tissue from a control fish , replicate 4","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM159447...68","Sasa kidney sample on controls, replicate 5","GSM159447","kidney tissue from a control fish , replicate 5","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM159454...69","Sasa kidney sample on day5 after waterborne challenged by IHN, replicate 2","GSM159454","kidney tissue from a fish sampled on day5 after challenged by waterborne exposure to Infectious hematopoietic necrosis (IHN)  virus, strain 93-057, replicate 2","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM159456...70","Sasa kidney sample on day5 after waterborne challenged by IHN, replicate 4","GSM159456","kidney tissue from a fish sampled on day5 after challenged by waterborne exposure to Infectious hematopoietic necrosis (IHN)  virus, strain 93-057, replicate 4","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM159459...71","Sasa kidney sample on day9 after waterborne challenged by IHN, replicate 2","GSM159459","kidney tissue from a fish sampled on day9 after challenged by waterborne exposure to Infectious hematopoietic necrosis (IHN)  virus, strain 93-057, replicate 2","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM159461...72","Sasa kidney sample on day9 after waterborne challenged by IHN, replicate 4","GSM159461","kidney tissue from a fish sampled on day9 after challenged by waterborne exposure to Infectious hematopoietic necrosis (IHN)  virus, strain 93-057, replicate 4","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM351386","D.rerio_embryo_CR vs PBS 24hpi A","GSM351386","D.rerio_embryo_CR","D.rerio_embryo_PBS 24hpi A","CR (common reference) is a mixture of all RNA samples from this infection study.","PBS-injected zebrafish embryos at 24 hours post injection ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM351387","D.rerio_embryo_CR vs PBS 24hpi B","GSM351387","D.rerio_embryo_CR","D.rerio_embryo_PBS 24hpi B","CR (common reference) is a mixture of all RNA samples from this infection study.","PBS-injected zebrafish embryos at 24 hours post injection ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM351388","D.rerio_embryo_CR vs PBS 24hpi C","GSM351388","D.rerio_embryo_CR","D.rerio_embryo_PBS 24hpi C","CR (common reference) is a mixture of all RNA samples from this infection study.","PBS-injected zebrafish embryos at 24 hours post injection ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM351400","D.rerio_embryo_CR vs Sth Ra 24hpi A","GSM351400","D.rerio_embryo_CR","D.rerio_embryo_Sth Ra 24hpi A","CR (common reference) is a mixture of all RNA samples from this infection study.","Salmonella typhimurium Ra mutant-injected zebrafish embryos at 24 hours post injection ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM351425","D.rerio_embryo_CR vs Sth Ra 24hpi B","GSM351425","D.rerio_embryo_CR","D.rerio_embryo_Sth Ra 24hpi B","CR (common reference) is a mixture of all RNA samples from this infection study.","Salmonella typhimurium Ra mutant-injected zebrafish embryos at 24 hours post injection ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM351426","D.rerio_embryo_CR vs Sth Ra 24hpi C","GSM351426","D.rerio_embryo_CR","D.rerio_embryo_Sth Ra 24hpi C","CR (common reference) is a mixture of all RNA samples from this infection study.","Salmonella typhimurium Ra mutant-injected zebrafish embryos at 24 hours post injection ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM351499","D.rerio_embryo_CR vs Sth WT 24hpi A  ","GSM351499","D.rerio_embryo_CR","D.rerio_embryo_Sth WT 24hpi A","CR (common reference) is a mixture of all RNA samples from this infection study.","Salmonella typhimurium wild type-injected zebrafish embryos at 24 hours post injection ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM351501","D.rerio_embryo_CR vs Sth WT 24hpi B ","GSM351501","D.rerio_embryo_CR","D.rerio_embryo_Sth WT 24hpi B","CR (common reference) is a mixture of all RNA samples from this infection study.","Salmonella typhimurium wild type-injected zebrafish embryos at 24 hours post injection ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM351504","D.rerio_embryo_CR vs Sth WT 24hpi C ","GSM351504","D.rerio_embryo_CR","D.rerio_embryo_Sth WT 24hpi C","CR (common reference) is a mixture of all RNA samples from this infection study.","Salmonella typhimurium wild type-injected zebrafish embryos at 24 hours post injection ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM368915","D.rerio_adult_chronic (i1) vs control (c1)","GSM368915","D.rerio_adult_control_c1","M.marinum_chronic_infected fish_i1","tissue: whole organism","tissue: whole organism","age: adult","disease state: healthy",NA,"age: adult","disease state: M. marinum infected fish showing overt signs of fish tuberculosis",NA,NA,NA,NA,NA,NA,NA
"GSM368916","D.rerio_adult_chronic (i2) vs control (c2)","GSM368916","D.rerio_adult_control_c2","M.marinum_chronic_infected fish_i2","tissue: whole organism","tissue: whole organism","age: adult","disease state: healthy",NA,"age: adult","disease state: M. marinum infected fish showing overt signs of fish tuberculosis",NA,NA,NA,NA,NA,NA,NA
"GSM368917","D.rerio_adult_chronic (i3) vs control (c3)","GSM368917","D.rerio_adult_control_c3","M.marinum_chronic_infected fish_i3","disease state: healthy","tissue: whole organism","tissue: whole organism","age: adult",NA,"age: adult","disease state: M. marinum infected fish showing overt signs of fish tuberculosis",NA,NA,NA,NA,NA,NA,NA
"GSM368918","D.rerio_adult_chronic (i4) vs control (c4)","GSM368918","D.rerio_adult_control_c4","M.marinum_chronic_infected fish_i4","disease state: healthy","tissue: whole organism","tissue: whole organism","age: adult",NA,"age: adult","disease state: M. marinum infected fish showing overt signs of fish tuberculosis",NA,NA,NA,NA,NA,NA,NA
"GSM381150","D.rerio_adult_CR_vs_E11_6dpi_4","GSM381150","D.rerio_adult_CR","D.rerio_adult_E11_6dpi","reference: CR (common reference) is a mixture of all RNA samples from healthy and infected adult zebrafish used in this microarray study","tissue: adult zebrafish","","",NA,"infection: 10000 bacteria of M.marinum E11 strain","time: 6 dpi (day post infection)",NA,NA,NA,NA,NA,NA,NA
"GSM381152","D.rerio_adult_CR_vs_E11_6dpi_5","GSM381152","D.rerio_adult_CR","D.rerio_adult_E11_6dpi","reference: CR (common reference) is a mixture of all RNA samples from healthy and infected adult zebrafish used in this microarray study","tissue: adult zebrafish","","",NA,"infection: 10000 bacteria of M.marinum E11 strain","time: 6 dpi (day post infection)",NA,NA,NA,NA,NA,NA,NA
"GSM381154","D.rerio_adult_CR_vs_E11_6dpi_6","GSM381154","D.rerio_adult_CR","D.rerio_adult_E11_6dpi","reference: CR (common reference) is a mixture of all RNA samples from healthy and infected adult zebrafish used in this microarray study","tissue: adult zebrafish","","",NA,"infection: 10000 bacteria of M.marinum E11 strain","time: 6 dpi (day post infection)",NA,NA,NA,NA,NA,NA,NA
"GSM381166","D.rerio_adult_CR_vs_Mma20_6dpi_4","GSM381166","D.rerio_adult_CR","D.rerio_adult_Mma20_6dpi","reference: CR (common reference) is a mixture of all RNA samples from healthy and infected adult zebrafish used in this microarray study","tissue: adult zebrafish","","",NA,"infection: 10000 bacteria of M.marinum Mma20 strain","time: 6 dpi (day post infection)",NA,NA,NA,NA,NA,NA,NA
"GSM381171","D.rerio_adult_CR_vs_Mma20_6dpi_5","GSM381171","D.rerio_adult_CR","D.rerio_adult_Mma20_6dpi","reference: CR (common reference) is a mixture of all RNA samples from healthy and infected adult zebrafish used in this microarray study","tissue: adult zebrafish","","",NA,"infection: 10000 bacteria of M.marinum Mma20 strain","time: 6 dpi (day post infection)",NA,NA,NA,NA,NA,NA,NA
"GSM381174","D.rerio_adult_CR_vs_Mma20_6dpi_6","GSM381174","D.rerio_adult_CR","D.rerio_adult_Mma20_6dpi","reference: CR (common reference) is a mixture of all RNA samples from healthy and infected adult zebrafish used in this microarray study","tissue: adult zebrafish","","",NA,"infection: 10000 bacteria of M.marinum Mma20 strain","time: 6 dpi (day post infection)",NA,NA,NA,NA,NA,NA,NA
"GSM381583","D.rerio_adult_CR_vs_PBS_1dpi_1","GSM381583","D.rerio_adult_CR","D.rerio_adult_PBS_1dpi","reference: CR (common reference) is a mixture of all RNA samples from healthy and infected adult zebrafish used in this microarray study","tissue: adult zebrafish","","",NA,"agent: PBS and harvested","time: 1 dpi (day post injection)",NA,NA,NA,NA,NA,NA,NA
"GSM381599","D.rerio_adult_CR_vs_PBS_1dpi_2","GSM381599","D.rerio_adult_CR","D.rerio_adult_PBS_1dpi","reference: CR (common reference) is a mixture of all RNA samples from healthy and infected adult zebrafish used in this microarray study","tissue: adult zebrafish","","",NA,"agent: PBS and harvested","time: 1 dpi (day post injection)",NA,NA,NA,NA,NA,NA,NA
"GSM381600","D.rerio_adult_CR_vs_PBS_1dpi_3","GSM381600","D.rerio_adult_CR","D.rerio_adult_CR_vs_PBS_1dpi","reference: CR (common reference) is a mixture of all RNA samples from healthy and infected adult zebrafish used in this microarray study","tissue: adult zebrafish","","",NA,"agent: PBS and harvested","time: 1 dpi (day post injection)",NA,NA,NA,NA,NA,NA,NA
"GSM381601","D.rerio_adult_CR_vs_PBS_1dpi_4","GSM381601","D.rerio_adult_CR","D.rerio_adult_CR_vs_PBS_1dpi","reference: CR (common reference) is a mixture of all RNA samples from healthy and infected adult zebrafish used in this microarray study","tissue: adult zebrafish","","",NA,"agent: PBS and harvested","time: 1 dpi (day post injection)",NA,NA,NA,NA,NA,NA,NA
"GSM381602","D.rerio_adult_CR_vs_PBS_1dpi_5","GSM381602","D.rerio_adult_CR","D.rerio_adult_PBS_1dpi","reference: CR (common reference) is a mixture of all RNA samples from healthy and infected adult zebrafish used in this microarray study","tissue: adult zebrafish","","",NA,"agent: PBS and harvested","time: 1 dpi (day post injection)",NA,NA,NA,NA,NA,NA,NA
"GSM381603","D.rerio_adult_CR_vs_PBS_1dpi_6","GSM381603","D.rerio_adult_CR","D.rerio_adult_PBS_1dpi","reference: CR (common reference) is a mixture of all RNA samples from healthy and infected adult zebrafish used in this microarray study","tissue: adult zebrafish","","",NA,"agent: PBS and harvested","time: 1 dpi (day post injection)",NA,NA,NA,NA,NA,NA,NA
"GSM382243","D.rerio_embryo_CR_vs_E11_embryo_120hpiA","GSM382243","D.rerio_embryo_CR","D.rerio_embryo_E11_120hpi","reference: Common reference (CR) consisting of a mixture of samples from embryo infections","tissue: 15-20 embryos","","",NA,"time: 120 hours post infection","infection: 50 cfu of E11 M. marinum strain",NA,NA,NA,NA,NA,NA,NA
"GSM382245","D.rerio_embryo_CR_vs_E11_embryo_120hpiB","GSM382245","D.rerio_embryo_CR","D.rerio_embryo_E11_120hpi","reference: Common reference (CR) consisting of a mixture of samples from embryo infections","tissue: 15-20 embryos","","",NA,"time: 120 hours post infection","infection: 50 cfu of E11 M. marinum strain",NA,NA,NA,NA,NA,NA,NA
"GSM382247","D.rerio_embryo_CR_vs_E11_embryo_120hpiC","GSM382247","D.rerio_embryo_CR","D.rerio_embryo_E11_120hpi","reference: Common reference (CR) consisting of a mixture of samples from embryo infections","tissue: 15-20 embryos","","",NA,"time: 120 hours post infection","infection: 50 cfu of E11 M. marinum strain",NA,NA,NA,NA,NA,NA,NA
"GSM384921","D.rerio_embryo_CR_vs_PBS_embryo_2hpiA","GSM384921","D.rerio_embryo_CR","D.rerio_embryo_PBS_2hpi","reference: Common reference (CR) consisting of a mixture of samples from embryo infections","tissue: 15-20 embryos","","",NA,"time: 2 hours post injection","agent: PBS",NA,NA,NA,NA,NA,NA,NA
"GSM384922","D.rerio_embryo_CR_vs_PBS_embryo_2hpiB","GSM384922","D.rerio_embryo_CR","D.rerio_embryo_PBS_2hpi","reference: Common reference (CR) consisting of a mixture of samples from embryo infections","tissue: 15-20 embryos","","",NA,"time: 2 hours post injection","agent: PBS",NA,NA,NA,NA,NA,NA,NA
"GSM384923","D.rerio_embryo_CR_vs_PBS_embryo_2hpiC","GSM384923","D.rerio_embryo_CR","D.rerio_embryo_PBS_2dpi","reference: Common reference (CR) consisting of a mixture of samples from embryo infections","tissue: 15-20 embryos","","",NA,"time: 2 hours post injection","agent: PBS",NA,NA,NA,NA,NA,NA,NA
"GSM384924","D.rerio_embryo_CR_vs_PBS_embryo_24hpiA","GSM384924","D.rerio_embryo_CR","D.rerio_embryo_PBS_24hpi","reference: Common reference (CR) consisting of a mixture of samples from embryo infections","tissue: 15-20 embryos","","",NA,"time: 24 hours post injection","agent: PBS",NA,NA,NA,NA,NA,NA,NA
"GSM384925","D.rerio_embryo_CR_vs_PBS_embryo_24hpiB","GSM384925","D.rerio_embryo_CR","D.rerio_embryo_PBS_24hpi","reference: Common reference (CR) consisting of a mixture of samples from embryo infections","tissue: 15-20 embryos","","",NA,"time: 24 hours post injection","agent: PBS",NA,NA,NA,NA,NA,NA,NA
"GSM384926","D.rerio_embryo_CR_vs_PBS_embryo_24hpiC","GSM384926","D.rerio_embryo_CR","D.rerio_embryo_PBS_24hpi","reference: Common reference (CR) consisting of a mixture of samples from embryo infections","tissue: 15-20 embryos","","",NA,"time: 24 hours post injection","agent: PBS",NA,NA,NA,NA,NA,NA,NA
"GSM384927","D.rerio_embryo_CR_vs_PBS_embryo_120hpiA","GSM384927","D.rerio_embryo_CR","D.rerio_embryo_PBS_120hpi","reference: Common reference (CR) consisting of a mixture of samples from embryo infections","tissue: 15-20 embryos","","",NA,"time: 2 hours post injection","agent: PBS",NA,NA,NA,NA,NA,NA,NA
"GSM385001","D.rerio_embryo_CR_vs_PBS_embryo_120hpiB","GSM385001","D.rerio_embryo_CR","D.rerio_embryo_PBS_120hpi","reference: Common reference (CR) consisting of a mixture of samples from embryo infections","tissue: 15-20 embryos","","",NA,"time: 120 hours post injection","agent: PBS",NA,NA,NA,NA,NA,NA,NA
"GSM385003","D.rerio_embryo_CR_vs_PBS_embryo_120hpiC","GSM385003","D.rerio_embryo_CR","D.rerio_embryo_PBS_120hpi","reference: Common reference (CR) consisting of a mixture of samples from embryo infections","tissue: 15-20 embryos","","",NA,"time: 2 hours post injection","agent: PBS",NA,NA,NA,NA,NA,NA,NA
"GSM470351","Fins_control_rep1","GSM470351","Fins, control, replicate 1",NA,"tissue: fins",NA,"infection: NONE (CONTROL)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM470354","Fins_control_rep2","GSM470354","Fins, control, replicate 2",NA,"tissue: fins",NA,"infection: NONE (CONTROL)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM470355","Fins_control_rep3","GSM470355","Fins, control, replicate 3",NA,"tissue: fins",NA,"infection: NONE (CONTROL)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM470356","Fins_control_rep4","GSM470356","Fins, control, replicate 4",NA,"tissue: fins",NA,"infection: NONE (CONTROL)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM470371","Organs_control_rep1","GSM470371","Organs, control, replicate 1",NA,"tissue: pooled spleen, head kidney, and liver",NA,"infection: NONE (CONTROL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM470385","Organs_control_rep2","GSM470385","Organs, control, replicate 2",NA,"tissue: pooled spleen, head kidney, and liver",NA,"infection: NONE (CONTROL)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM470387","Organs_control_rep3","GSM470387","Organs, control, replicate 3",NA,"tissue: pooled spleen, head kidney, and liver",NA,"infection: NONE (CONTROL)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM470390","Organs_control_rep4","GSM470390","Organs, control, replicate 4",NA,"tissue: pooled spleen, head kidney, and liver",NA,"infection: NONE (CONTROL)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM489727","7j Ssa family 8_control_replicate 1","GSM489727","Head-kidney_control_8 (7j)","Salmo salar reference RNA","tissue: Head-kidney","reference source: pooled total RNA from 18 healthy Atlantic salmon","time: 7 days","infection: control",NA,"reference: Reference RNA",NA,NA,"pooled total RNA from 18 healthy Atlantic salmon",NA,NA,NA,NA,NA
"GSM489728","7j Ssa family 8_control_replicate 2","GSM489728","Head-kidney_control_8 (7j)","Salmo salar reference RNA","tissue: Head-kidney","reference source: pooled total RNA from 18 healthy Atlantic salmon","time: 7 days","infection: control",NA,"reference: Reference RNA",NA,NA,"pooled total RNA from 18 healthy Atlantic salmon",NA,NA,NA,NA,NA
"GSM489729","7j Ssa family 8_control_replicate 3","GSM489729","Head-kidney_control_8 (7j)","Salmo salar reference RNA","tissue: Head-kidney","reference source: pooled total RNA from 18 healthy Atlantic salmon","time: 7 days","infection: control",NA,"reference: Reference RNA",NA,NA,"pooled total RNA from 18 healthy Atlantic salmon",NA,NA,NA,NA,NA
"GSM489730","7j Ssa family 8_infected_replicate 4","GSM489730","Head-kidney_control_8 (7j)","Salmo salar reference RNA","tissue: Head-kidney","reference source: pooled total RNA from 18 healthy Atlantic salmon","time: 7 days","infection: ISAV-infected",NA,"reference: Reference RNA",NA,NA,"pooled total RNA from 18 healthy Atlantic salmon",NA,NA,NA,NA,NA
"GSM489731","7j Ssa family 9_control_replicate 1","GSM489731","Head-kidney_control_9 (7j)","Salmo salar reference RNA","tissue: Head-kidney","reference source: pooled total RNA from 18 healthy Atlantic salmon","time: 7 days","infection: control",NA,"reference: Reference RNA",NA,NA,"pooled total RNA from 18 healthy Atlantic salmon",NA,NA,NA,NA,NA
"GSM489732","7j Ssa family 9_control_replicate 2","GSM489732","Head-kidney_control_9 (7j)","Salmo salar reference RNA","tissue: Head-kidney","reference source: pooled total RNA from 18 healthy Atlantic salmon","time: 7 days","infection: control",NA,"reference: Reference RNA",NA,NA,"pooled total RNA from 18 healthy Atlantic salmon",NA,NA,NA,NA,NA
"GSM489733","7j Ssa family 9_control_replicate 3","GSM489733","Head-kidney_control_9 (7j)","Salmo salar reference RNA","tissue: Head-kidney","reference source: pooled total RNA from 18 healthy Atlantic salmon","time: 7 days","infection: control",NA,"reference: Reference RNA",NA,NA,"pooled total RNA from 18 healthy Atlantic salmon",NA,NA,NA,NA,NA
"GSM489734","7j Ssa family 9_control_replicate 4","GSM489734","Head-kidney_control_9 (7j)","Salmo salar reference RNA","tissue: Head-kidney","reference source: pooled total RNA from 18 healthy Atlantic salmon","time: 7 days","infection: control",NA,"reference: Reference RNA",NA,NA,"pooled total RNA from 18 healthy Atlantic salmon",NA,NA,NA,NA,NA
"GSM489735","7j Ssa family 8_infected_replicate 1","GSM489735","Head-kidney_infected_8 (7j)","Salmo salar reference RNA","tissue: Head-kidney","reference source: pooled total RNA from 18 healthy Atlantic salmon","time: 7 days","infection: ISAV-infected",NA,"reference: Reference RNA",NA,NA,"pooled total RNA from 18 healthy Atlantic salmon",NA,NA,NA,NA,NA
"GSM489736","7j Ssa family 8_infected_replicate 2","GSM489736","Head-kidney_infected_8 (7j)","Salmo salar reference RNA","tissue: Head-kidney","reference source: pooled total RNA from 18 healthy Atlantic salmon","time: 7 days","infection: ISAV-infected",NA,"reference: Reference RNA",NA,NA,"pooled total RNA from 18 healthy Atlantic salmon",NA,NA,NA,NA,NA
"GSM489737","7j Ssa family 8_infected_replicate 3","GSM489737","Head-kidney_infected_8 (7j)","Salmo salar reference RNA","tissue: Head-kidney","reference source: pooled total RNA from 18 healthy Atlantic salmon","time: 7 days","infection: ISAV-infected",NA,"reference: Reference RNA",NA,NA,"pooled total RNA from 18 healthy Atlantic salmon",NA,NA,NA,NA,NA
"GSM489738","7j Ssa family 9_infected_replicate 1","GSM489738","Head-kidney_infected_9 (7j)","Salmo salar reference RNA","tissue: Head-kidney","reference source: pooled total RNA from 18 healthy Atlantic salmon","time: 7 days","infection: ISAV-infected",NA,"reference: Reference RNA",NA,NA,"pooled total RNA from 18 healthy Atlantic salmon",NA,NA,NA,NA,NA
"GSM489739","7j Ssa family 9_infected_replicate 2","GSM489739","Head-kidney_infected_9 (7j)","Salmo salar reference RNA","tissue: Head-kidney","reference source: pooled total RNA from 18 healthy Atlantic salmon","time: 7 days","infection: ISAV-infected",NA,"reference: Reference RNA",NA,NA,"pooled total RNA from 18 healthy Atlantic salmon",NA,NA,NA,NA,NA
"GSM489740","7j Ssa family 9_infected_replicate 3","GSM489740","Head-kidney_infected_9 (7j)","Salmo salar reference RNA","tissue: Head-kidney","reference source: pooled total RNA from 18 healthy Atlantic salmon","time: 7 days","infection: ISAV-infected",NA,"reference: Reference RNA",NA,NA,"pooled total RNA from 18 healthy Atlantic salmon",NA,NA,NA,NA,NA
"GSM489741","7j Ssa family 9_infected_replicate 4","GSM489741","Head-kidney_infected_9 (7j)","Salmo salar reference RNA","tissue: Head-kidney","reference source: pooled total RNA from 18 healthy Atlantic salmon","time: 7 days","infection: ISAV-infected",NA,"reference: Reference RNA",NA,NA,"pooled total RNA from 18 healthy Atlantic salmon",NA,NA,NA,NA,NA
"GSM489742","16j Ssa family 8_control_replicate 1","GSM489742","Head-kidney_control_8 (16j)","Salmo salar reference RNA","tissue: Head-kidney","reference source: pooled total RNA from 18 healthy Atlantic salmon","time: 16 days","infection: control",NA,"reference: Reference RNA",NA,NA,"pooled total RNA from 18 healthy Atlantic salmon",NA,NA,NA,NA,NA
"GSM489743","16j Ssa family 8_control_replicate 2","GSM489743","Head-kidney_control_8 (16j)","Salmo salar reference RNA","tissue: Head-kidney","reference source: pooled total RNA from 18 healthy Atlantic salmon","time: 16 days","infection: control",NA,"reference: Reference RNA",NA,NA,"pooled total RNA from 18 healthy Atlantic salmon",NA,NA,NA,NA,NA
"GSM489744","16j Ssa family 8_control_replicate 3","GSM489744","Head-kidney_control_8 (16j)","Salmo salar reference RNA","tissue: Head-kidney","reference source: pooled total RNA from 18 healthy Atlantic salmon","time: 16 days","infection: control",NA,"reference: Reference RNA",NA,NA,"pooled total RNA from 18 healthy Atlantic salmon",NA,NA,NA,NA,NA
